ARMA MEDIO,DEPARTAMENTO,MUNICIPIO,FECHA HECHO,GENERO,AGRUPA EDAD,CODIGO DANE,CANTIDAD
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),12/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),13/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),14/06/2022,MASCULINO,ADULTOS,05001000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),23/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),24/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),26/06/2022,MASCULINO,ADULTOS,05001000,3
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),28/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),29/06/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),01/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),10/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),12/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),17/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),19/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),23/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),30/07/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),01/08/2022,MASCULINO,ADOLESCENTES,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),08/08/2022,MASCULINO,ADOLESCENTES,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),11/08/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),13/08/2022,MASCULINO,ADULTOS,05001000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),16/08/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MEDELLÍN (CT),29/08/2022,MASCULINO,ADULTOS,05001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,MONTEBELLO,05/06/2022,MASCULINO,ADULTOS,05467000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,NECHÍ,03/08/2022,MASCULINO,ADULTOS,05495000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,NECOCLÍ,25/05/2022,FEMENINO,ADULTOS,05490000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,PEÑOL,01/05/2022,MASCULINO,ADULTOS,05541000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,PUEBLORRICO,23/05/2022,MASCULINO,ADULTOS,05576000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,PUERTO BERRÍO,02/01/2022,FEMENINO,ADOLESCENTES,05579000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,REMEDIOS,24/03/2022,MASCULINO,ADULTOS,05604000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,REMEDIOS,24/05/2022,MASCULINO,ADULTOS,05604000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,RETIRO,20/02/2022,MASCULINO,ADULTOS,05607000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,RETIRO,24/04/2022,MASCULINO,ADULTOS,05607000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,RIONEGRO,03/07/2022,MASCULINO,ADULTOS,05615000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SABANETA,07/05/2022,MASCULINO,ADULTOS,05631000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SABANETA,06/07/2022,MASCULINO,ADULTOS,05631000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SALGAR,27/06/2022,MASCULINO,ADULTOS,05642000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,20/03/2022,MASCULINO,ADULTOS,05658000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SAN PEDRO,20/01/2022,MASCULINO,ADULTOS,05664000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SAN PEDRO DE URABÁ,02/05/2022,MASCULINO,ADULTOS,05665000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SAN PEDRO DE URABÁ,03/07/2022,MASCULINO,ADULTOS,05665000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SAN VICENTE,13/03/2022,MASCULINO,ADULTOS,05674000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SANTA BÁRBARA,14/04/2022,MASCULINO,ADULTOS,05679000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SANTA BÁRBARA,20/08/2022,MASCULINO,ADULTOS,05679000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SANTA ROSA DE OSOS,10/08/2022,MASCULINO,ADULTOS,05686000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,14/06/2022,MASCULINO,ADULTOS,05042000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SEGOVIA,15/05/2022,FEMENINO,ADULTOS,05736000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SEGOVIA,28/06/2022,MASCULINO,ADULTOS,05736000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SEGOVIA,10/07/2022,MASCULINO,ADULTOS,05736000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,SEGOVIA,02/08/2022,MASCULINO,ADOLESCENTES,05736000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TARAZÁ,14/01/2022,MASCULINO,ADULTOS,05790000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TARAZÁ,13/02/2022,MASCULINO,ADULTOS,05790000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,21/02/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,13/03/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,03/04/2022,FEMENINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,25/04/2022,MASCULINO,ADOLESCENTES,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,09/05/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,20/06/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,03/07/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,16/07/2022,MASCULINO,ADOLESCENTES,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,TURBO,17/08/2022,MASCULINO,ADULTOS,05837000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,27/03/2022,MASCULINO,ADULTOS,05847000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,30/05/2022,MASCULINO,ADULTOS,05847000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,07/06/2022,FEMENINO,ADULTOS,05847000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,09/06/2022,MASCULINO,ADULTOS,05847000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,18/06/2022,MASCULINO,ADULTOS,05847000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,URRAO,07/08/2022,MASCULINO,ADULTOS,05847000,1
