DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
VALLE,EL CERRITO,76248000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NARIÑO,PASTO (CT),52001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
GUAJIRA,MAICAO,44430000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADOLESCENTES,1
MAGDALENA,FUNDACIÓN,47288000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
BOLÍVAR,SANTA ROSA,13683000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
CAQUETÁ,SAN JOSÉ DEL FRAGUA,18610000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
VALLE,GINEBRA,76306000,ARMA DE FUEGO,1/1/2019,FEMENINO,ADULTOS,1
QUINDÍO,CALARCA,63130000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
SUCRE,SAN ONOFRE,70713000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
SUCRE,SAN ONOFRE,70713000,ARMA DE FUEGO,1/1/2019,FEMENINO,ADULTOS,1
NARIÑO,PUPIALES,52585000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
NARIÑO,SANTA BÁRBARA,52696000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
TOLIMA,COYAIMA,73217000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
TOLIMA,COYAIMA,73217000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
TOLIMA,COYAIMA,73217000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
QUINDÍO,LA TEBAIDA,63401000,ARMA DE FUEGO,1/1/2019,MASCULINO,ADULTOS,1
CAUCA,PADILLA,19513000,CONTUNDENTES,1/1/2019,MASCULINO,ADULTOS,1
PUTUMAYO,SAN MIGUEL,86757000,CONTUNDENTES,1/1/2019,MASCULINO,ADULTOS,1
HUILA,LA PLATA,41396000,CONTUNDENTES,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,MASCULINO,ADULTOS,1
BOLÍVAR,MAGANGUÉ,13430000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,FEMENINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,MASCULINO,ADULTOS,1
PUTUMAYO,SAN MIGUEL,86757000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,FEMENINO,ADULTOS,1
VALLE,BUENAVENTURA,76109000,ARMA BLANCA / CORTOPUNZANTE,1/2/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
ARAUCA,FORTUL,81300000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
CALDAS,CHINCHINÁ,17174000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
BOLÍVAR,ARJONA,13052000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
VALLE,LA VICTORIA,76403000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADOLESCENTES,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
CALDAS,CHINCHINÁ,17174000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,EL BAGRE,05250000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
MAGDALENA,SANTA MARTA (CT),47001000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADULTOS,1
CAUCA,EL TAMBO,19256000,ARMA DE FUEGO,1/2/2019,MASCULINO,ADOLESCENTES,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CONTUNDENTES,1/2/2019,MASCULINO,ADULTOS,1
CÓRDOBA,LORICA,23417000,SIN EMPLEO DE ARMAS,1/2/2019,MASCULINO,ADOLESCENTES,1
QUINDÍO,ARMENIA (CT),63001000,ARMA BLANCA / CORTOPUNZANTE,1/3/2019,FEMENINO,ADOLESCENTES,1
NARIÑO,LINARES,52411000,ARMA BLANCA / CORTOPUNZANTE,1/3/2019,MASCULINO,ADULTOS,1
VALLE,EL CERRITO,76248000,ARMA BLANCA / CORTOPUNZANTE,1/3/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
SUCRE,SAN BENITO ABAD,70678000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
RISARALDA,DOSQUEBRADAS,66170000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
VALLE,FLORIDA,76275000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
RISARALDA,PEREIRA (CT),66001000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
CÓRDOBA,MONTELÍBANO,23466000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,TÁMESIS,05789000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,GIRARDOT,25307000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
PUTUMAYO,PUERTO ASÍS,86568000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
VALLE,TRUJILLO,76828000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADULTOS,1
CAUCA,TIMBÍO,19807000,ARMA DE FUEGO,1/3/2019,FEMENINO,ADULTOS,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,1/3/2019,MASCULINO,ADOLESCENTES,1
BOLÍVAR,VILLANUEVA,13873000,ARMA BLANCA / CORTOPUNZANTE,1/4/2019,MASCULINO,ADULTOS,1
BOLÍVAR,VILLANUEVA,13873000,ARMA BLANCA / CORTOPUNZANTE,1/4/2019,MASCULINO,ADULTOS,1
NARIÑO,BELÉN,52083000,ARMA BLANCA / CORTOPUNZANTE,1/4/2019,MASCULINO,ADOLESCENTES,1
CAUCA,PIAMONTE,19533000,ARMA BLANCA / CORTOPUNZANTE,1/4/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,ZARAGOZA,05895000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,2
CÓRDOBA,CANALETE,23090000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,1
NARIÑO,TAMINANGO,52786000,ARMA DE FUEGO,1/4/2019,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,1
CÓRDOBA,MONTERÍA (CT),23001000,ARMA DE FUEGO,1/4/2019,MASCULINO,ADULTOS,1
